TEAM_NAMES,SerialNumber,Filename,Name,Description,Gender,Attributes,UUID,SHA256
,16,oluwaseun-spicy,oluwaseun spicy,He loves spicy foods. He cooks pepper and sprinkles rice on top.,Male,hair: bald; eyes: black; teeth: none; clothing: yellow and purple agbada; accessories: mask; expression: none strength: none; weakness: none;,808f7007-6552-4efa-bd13-4b7c337b102b,dd5b1a466c18ed93500b5f70802ec012a3ecfc4a399690773ba11cbcf621eacf
,17,sesan-the-smartie,sesan the smartie,Sesan always comes first in competitions.,Male,hair: bald; eyes: blue; teeth: none; clothing: orange; accessories: mask; expression: none; strength: intelligence; weakness: none;,ba3edda7-8940-4ca4-97ba-826398d5909f,af7cbbd6b2384da19940079074865dca22f7db337b1b10f86d13159f1f0e9f25
,18,tiwa-london,tiwa london,If she says she's in London and you see her; you're in London too.,Female,hair: braids; eyes: none; teeth: none; clothing: black top; accessories: glasses; expression: none; strength: none; weakness: untruthfulness;,78da7aeb-8352-4e25-89ac-dc48b5984089,41cc45c4b5bf8753ea12a22a40502290578aa7458de4f9c754a8a8995a28a55a
,19,tunde-yoruba-demon,tunde yoruba demon,Tunde derives joy in breaking hearts. It's a lifestyle.,Male,hair: bald; eyes: white; teeth: none; clothing: purple and yellow agbada; accessories: mask; expression: none; strength: none; weakness: promiscuity;,53b46bd7-a537-402b-b249-0b4074a8faae,6c6696b1be1a4beae725cb800f26ac29c08c6994e172aa64b19b0bd8f5329840
,20,yakubu-the-zombie,yakubu the zombie,Yakubu earned his zombie title because na only dust full him head.,Male,hair: bald; eyes: black; teeth: none; clothing: green and purple agbada; accessories: mask; expression: none; strength:none; weakness:slow to understand things;,4adb6781-1614-424e-8f77-fe59ffca2209,4ad507d4044a15c84722a4b4d3e78a0933f68c68c2d2fcaa80fa889c76fde16e
TEAM CLUTCH,21,abdul-the-vibe,abdul the vibe,Abdul the life of the party and can never be caught un-fresh.,Male,hair: none; eyes: black; teeth: none; clothings: purple and yellow kaftan; accessories: cap; expression: happy; strength: strong; weakness: no limitation;,770f817a-9d9a-4772-9a91-e66dd9d03470,c81993de9246dccd6c94c801eed49795dc4108f9d20c7e73fadf4a811a1eafe5
,22,emeka-the -clown,emeka the clown,Emeka the funny man; always making silly joke.,Male,hair: none; eyes: black; teeth: none; clothings: yellow and black ankara; accessories: cap; expression: straight face; strength: funny; weakness: little physique;,78810fa6-a7ef-4d83-bf57-caf49db4ee69,e31f9399a56bfff9516421bfec49f1008ac3f7fe73b7a4c67a4e485a9d6b6469
,23,salam-the-odogwu,salam the odogwu,Salam is a big time textile marketer always sourcing for quality materials.,Male,hair: none; eyes: brown; teeth: none; clothings: wine and yellow; accessories: yayada cap; expression: happy; strength: influence; weakness: impatience;,f2957ded-022c-4b07-92c6-b345d4816a67,eb184b44ccf1fcddf85cde8a3699845e77af3a0bce4d5ab10824d06e7f160ebe
,24,charles-the-exporter,charles the exporter,Charles a business man an importer and exporter never to be caught idle.,Male,hair: none; eyes: grey; teeth: none; clothings: orange and blue; accessories: okpu ozo cap; expression: happy; strength: influential; weakness: incessant;,09395e76-19ed-4852-8748-795ee7496a8e,6a5ef784a33dc5639f1e6b7889b92117c96bf31835ba6925e34904b5ae89c526
,25,wole-the-pimp,wole the pimp,Wole knows people and his way around his city.,Male,hair: none; eyes: black; teeth: two white teeth with diastema; clothings :yellow dashiki; accessories: yori yori; expression: happy; strength: strong; weakness: promiscuous;,4d94d4f7-9b69-4e43-9db1-1fe83df92857,0ade8dfa1eed6188f6a0419c718637c2c11a9323a132c74d5e122539fac7e134
,26,saro-the-baller,saro the baller,Saro is a baller and he is always ready to turn-up,Male,hair: orange afro; eyes: blue; teeth: two white teeth with diastema; clothings: black and yellow kente; accessories: none; expression: angry; strength: strong; weakness: insatiable;,d35a7514-8996-42fb-a5f2-5a603ec679c5,66a03ed6bee5ea8b497bcf0714d202665d1290c792b088217e835fc53301793e
,27,ade-omo-yoruba,ade omo yoruba,Ade is an influential man and he is revered in his town.,Male,hair: none; eyes: blue; teeth: complete white teeth and a gold tooth; clothings: black and yellow kente; accessories: wine cap; expression:happy; strength: hardworking; weakness: procrastination;,92984fa0-310b-4377-8a10-15965d044383,9271bc50aa40780cec956cb5da4645d4e5bf7bed68d870ddec241a4802a79844
,28,shola-cool-kid,shola cool kid,Shola prefers to be alone because he hates stress.,Male,hair: none; eyes: none; teeth: none clothings: yellow t-shirt and blue dongaris; accessories: red facecap; expression: playful; strength: fun; weakness: playful,3ac5c186-bc14-4eb6-8567-cc818465a64f,89a6f148ab43bef519dfb7dcb562fb706ebe29d163f97aa074f40a2ca7d02683
,29,charlie-the-smoker,charlie the smoker,Charlie uses smoking as a coping mechanism.,Male,hair: none; eyes: black; teeth: none; clothings: black shirt with lion prints; accessories: blue cap; expression: happy; strength: nice; weakness: gullible;,71a0aa22-d111-43b7-8484-43d87310bc42,c22e625a86cfbacb3df5b4eb8abe1530409068e78d938e76893af8a918fd63e0
,30,femi-the-badguy,femi the badguy,Femi is one of the fliest guys in Lagos.,Male,hair: orange; eyes: black; teeth: none; clothings: white t-shirt and blue dongaris; accessories: smoking pipe; expression: unbothered; strength: fearless; weakness: intolerance;,e493e3fb-a8a0-455a-854f-0f6474bbc69f,bc04417d322bb85a294e9a45e94bc3e952cf1ec1e326e4539d8fa43aa03aefaa
,31,sinzu-money,sinzu money,Sinzu loves spending money on flashy things.,Male,hair: none; eyes: blue; teeth: white complete teeth and a brown tooth; clothings: purple and yellow kaftan; accessories: green-stripped fila cap; expression: strength; strength: generous; weakness: aggressive ;,942f8347-9932-4331-bd15-d0f3a048b54f,5fb4c74962ee4ef53ab0bc0ac6ddd2a1485bec73fcf29922ff89916fc4bd2765
,32,obinna-the-palmwine tapper,obinna the palmwine tapper,Obinna taps palmwine for a living.,Male,hair: none; eyes: black; teeth: none; clothings: yellow; black and a touch of pink ankara; accessories: cap; expression: happy; strength: contentment; weakness: naive;,0f1af056-2548-4407-bed4-abc11deae05d,6c28caa169ee2aaca4e78c1c18c30c002ae28ad841bf2adfdf4051e919ce02f2
,33,aminu-maikudi,aminu maikudi,Aminu is a wealthy man from a family with generational wealth. ,Male,hair: none; eyes: black; teeth: none; clothings: maroon and yellow agbada; accessories: cap; expression: unbothered; strength: confidence; weakness: selfishness;,0129e7a5-e3d0-4675-92d0-1a1e55d11612,05cbe32eca93f2dbbd2fd528987faab733e10b29a20c972d7d4bff6235aeb465
,34,sabinus-the-town crier,sabinus the town crier,Sabinus delivers messages to his town people.,Male,hair: none; eyes: black; teeth: two white teeth with diastema; clothings: orange ankara with touches of blue; accessories: cap; expression: happy; strength: dexterity; weakness: impatience;,01d4ce96-818e-44b1-8813-68a7d34b35ba,aaaf1692e46d2528f8c3bbae7c05bbcfa52e298f680cd3cec31b0b89ae6f9ce9
,35,adisa-ibadan,adisa ibadan,Adisa is an elegant man and he is adored by his people.,Male,hair: none; eyes: black; teeth: none; clothings: kente accessories:abeti-aja cap; expression: mischievous; strength: independent; weakness: bossy;,3a925f27-35f6-4dbf-9960-c6527fae5f3e,c574a99cf9652b9e158cc3e3ceb9ce6cf2ba34cb0a27c88a815c36377241df20
,36,linda-the-navigator,linda the navigator,Linda knows how to make a way for herself and the people around her.,Female,hair: blonde; eyes: none; teeth: none; clothings:multicolored; accessories: glasses; expression: confused; strength: creative; weakness: insecure;,71f335a6-5a4f-4410-9cea-179336f0e498,64fe5cd15db5abcbc2212c0f226a238700602075a47af912d79961ddcf972d24
,37,kemi-the-iron lady,kemi the iron lady,Kemi the strongest woman known to the town of Igbede people.,Female,hair: ginger; eyes: none; teeth: none; clothings: ankara; accessories:glasses and a pipe; expression: cool; strength: disciplined; weakness: perfectionist ;,35b11a31-5b92-49f4-8fb1-30f255d22054,eecee757fa872fb44c4ed2b417b87a17775d8771dc984483d76e546cd083282a
,38,mercy-the-sassy lady,mercy the sassy lady,Mercy is a confident woman and never hesistate to show it.,Female,hair: brown; eyes: none; teeth:none; clothings: ankara; accessories: glasses; expression: sassy; strenght: creative; weakness: sensitive;,7a3c70ac-927f-4a63-a3df-ab86dd27cd0f,040e3fad082cc16dd73c46dd22a99b37e0b90ecd9a2feb9c683240192bb15dc4
,39,sandra-money,sandra money,Sandra likes getting and spending money.,Female,hair: brown; eyes: none; teeth:none; clothings:yellow and black; accessories: glasses; expression: confused; strength: brave; weakness: overthinker;,1bd95fb0-7b2e-4354-bebd-22f9cf70a1ca,a1abe428c1f712c788b9241c65bbe1dd3a1591721a822634381a00065f78f313
,40,bimpe-the-fashionista,bimpe the fashionista,Bimpe loves wearing trendy clothes and looking gorgeous.,Female,hair: blonde; eyes: none; teeth:gap teeth; clothings: black cold shoulder shirt; accessories: glasses; expression: shocked; strength: intelligent; weakness: procrastination,92b548b7-998b-46b6-8198-80d407209483,f10d2946c0017a7426612dc9a744f9cb15cef06d1202b541958f450c8db4cedf
TEAM ENGINE,41,kim-rich-aunty,kim rich aunty,She loves spoiling her nieces and nephew.,Female,hair: pink; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength:brave; weakness:food;,3344a73c-f15e-4afd-a1b2-3199e27eb08f,48e7cdcd269b9315c3174140828046986d7a29d3983acabd8ad0520ad97ac6bb
,42,barbra-stark,barbra stark,She loves fine dining and spends time with family.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength:brave; weakness:food,4f31fd99-4918-42a9-a112-fa60ef36d5c6,42bdc35545a2c5bc547a34268553d382971f58fcb66f5ab7f156714d64a9f58e
,43,jean-art-dolger,jean art dolger,Loves collecting art for charity.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: creative; weakness: food,5e1105d9-e485-462d-a5bf-1eb931976b13,b76c8f97c919002fc9c1291fd5e55056307799c39ca436ea5b03dc76d4edc156
,44,flora-burger- eater,flora burger eater,She loves eating burgers.,Female,hair: blue; eyes: brown; teeth: gap; clothing: stripes; accessories: none; expression: frowning; strength: prayerful; weakness: food,054dffd1-cdff-417b-b6c2-a679dabd087b,a6b706601e59c639f8ff4b939ae8efd75509b5d0c6f13da63f3493b4eeb69f77
,45,jessie-lord-rings,jessie lord rings,She loves her  (precious) jewelry.,Female,hair: blue; eyes: brown; teeth: none; clothing: satin; accessories: none; expression: smiling; strength: kind; weakness: shy,caacabe1-0abc-43af-92e2-2231248bff93,085dbaa4c62f361e4b863bd673412664f0b756a3b0b90a68e52dcf2f751e96a6
,46,pinky-monky-ponk,pinky monky ponk,She love to dance the honky tonk.,Female,hair: maroon; eyes: blue; teeth: none; clothing: linen; accessories: none; expression: smiling; strength: brave; weakness: chips,bd6a4b38-543e-40fa-9153-f7e1a947ebb1,d86b7d47df8c3c3b711780d953068008952fad049944f3c8aa4e6d8e4b86355c
,47,wanjiru-hippie-glitter,wanjiru hippie glitter,A hippie that loves her glitters.,Female,hair: blue; eyes: brown; teeth: none; clothing: wool; accessories: none; expression: smiling; strength: none; weakness: babies,683f0d27-3cb4-4948-b1b5-09f10bee575a,eb6490632db2cff0fe2670578bb211620f7bc014c294844481508c10cb638850
,48,njoki-binary-coder,njoki binary coder,She codes with the best language and tops the set.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: none; weakness: none,9b59bdb4-0c6c-4107-9d72-6d38d308edb4,26df383d19de71cb4aee59f791256f9cf27d923d0638a0522c7bf4ce9aef095d
,49,wangu-calaba-hustler,wangu calaba hustler,She is a passionate hustler you should be careful with her.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: flying,67f7da93-3925-4def-b660-58f558c14a19,02585a7a1fe67fee27fd1801089ef4aad21b65a5484d8f2debefbd8d180c5f73
,50,lulu-dey-kpako,lulu dey kpako,She's is as enthusiastic as she is beautiful.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: loving; weakness: makeup,23b6c38f-ab84-4565-bfe9-d9eb019c9f29,ebf7ee2859b30acb477fe79f4c25554ee3f485a0a5142bcde000d53a86547aa6
,51,kiki-cala-flier,kiki cala flier,She flies first class and gets the best deals.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: kittens,d24aefff-c9fc-4ea9-a7cf-1b741076c822,edbc42346b319720499dd059de558b5a75e5c8cbb9c248ac99e728c6b19f4601
,52,purity-nft -investor,purity nft investor,She is an angel investor looking for the next big thing.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: clothes,ee86ef77-4793-411a-88d3-ea54d84f6b24,987f20b0fa2b40b0442efcd5309f7b1ff69ab3ac16ed9bac2f02520e09071e3c
,53,june-binary-monk,june binary monk,She has a twin from Tibet and they always play together .,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: money,102c4cdb-f812-44fd-bf47-5065284c6075,1a821843d691a2f3eef514df424b69460980a7744b6365f939ef48c97f61fbb7
,54,aisha-flying-damsel,aisha flying damsel,She is always a damsel in distress and loves to fly.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: food,c4071af3-b49e-4ad6-898b-7828f90465fb,3137b351479ee5c07d32684ac6243dd662fbc292ca34bb3aead5a43aa456cd81
,55,bobo-crypto-lovely,bobo crypto lovely,She is a crypto guru you can trust all through.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: water,427ea0f5-30a3-4d70-a5bd-a6106409b83c,01acf783bdb9970f925cad6cd52166af7caffc3ad04ce7e86c0135fd6cb759bf
,56,nell-light -embrace,nell light embrace,She is an empathy ready with a kind word or hug.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: love,9dfe30b4-c71a-471c-8091-f5c4a238eed8,70f77ba7e20b2f018f68922b13c2630c4502593238a2fcc6232bfc1ced5e5229
,57,rachel-mood-silent,rachel mood silent,Introvert  to the core a mysterious lady.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: walls,11450acd-f0d7-406f-bc18-bdb680404845,78c09817c5dc2b8420b8cab782c4ae2855929b886befc1da867513a54bf30f91
,58,nana-reflector-agent,nana reflector agent,She loves her chrome fashion style.,Female,hair: pink; eyes: blue; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength: brave; weakness: shy,63bda633-bfca-4b28-823f-7772936b4103,cb39c76d61cdd4135d204bea8b10f9cfcc5c0b392dd308c87b8ada33cec7943b
,59,bree-busy-gossip,bree busy gossip,Never whisper your secrets to her except you want the world to know.,Female,hair: blue; eyes:white; teeth: none; clothing: glitter; accessories:none; expression: frowm; strength:goodlistener; weakness:height,4f5898d9-fc99-4053-a56c-b2ec1ef41347,83f0d189a4ea675a6d09d7a9bf0f376a7ee26ec6a4b2380391ad8728e3324f77
,60,jude-shadow-fighter,jude shadow fighter,A ninja warrior; the last samurai standing.,Female,hair: white; eyes:brown; teeth: none; clothing: ankara; accessories:chain; expression: smiling; strength:brave; weakness:water,a47b2ed7-d4aa-4404-ac40-0ecea464cf3f,45d71548088867a144031beb26f30076f0aa2f4901d47bdab78cb6051c22f886
TEAM GRIT,61,toy-soldier,toy soldier,A man stronger than an army.,Male,hair: bald; eyes: closed; teeth: none; clothing: overall; accessories: nose mask; expression: happy; strengths: powerful; weakness: sentimental,fc8ea3ac-59d1-11ed-9b6a-0242ac120002,319861a9b5ea1b6c180d48f1697f12dcb99f5421288ba29febb7cd222f52ad43
,62,pipey-rivers,pipey rivers,A man who loves the water so much and fixes it's path.,Male,hair:bald; eyes: opened; teeth:none; clothing: overall; accessories: nose mask; strengths: calculative; weakness: public speaking,58f69cae-59d1-11ed-9b6a-0242ac120002,86235110d33dbbff81a2a1d9f5aceb7f54bab33b4e3c9bb75bc8999365f5c03b
,63,phiri-of-zambia,phiri of zambia,An african woman with strength and beauty.,Female,hair: purple buns; eyes:nose; teeth: none; clothing: adire; accessories: sunglasses; expression: jiggy; strengths: free spirit; weakness: blind ,24b537fa-59d3-11ed-9b6a-0242ac120002,46b1ad02a9f70d2a35a71b3a448f0408b9d2d8383a5bd0e55c669329db936ce4
,64,patrick-of-bikinibottom,patrick of bikinibottom,A white man who loves the african culture and associates with their dressing.,Male,hair: bald; eyes: opened; teeth: none; clothing: kente; accessories: nose mask; expression: confused; strengths: adaptation; weakness: fluency,064c7b84-59d3-11ed-9b6a-0242ac120002,c02b52b8edccf611ebc8e1bd6df50eaa11d173c07f9494dbf689923070b34d2f
,65,nobuhle-of-zulu,nobuhle of zulu,A woman; well endowed with beauty.,Female,hair: brown bun; eyes: none; teeth: none; clothing: iqoyi; accessories: sunglasses; expression: astonished; strengths: cool headed; weakness: pressure,1ee5b1ce-59d3-11ed-9b6a-0242ac120002,77431ba73b19837d2da8e4563ae6385a768c1d684bf69780ad749a759540cd42
,66,nkosazana-of-xhosa,nkosazana of xhosa,An african princess; always proud of her culture.,Female,hair: ginger afro; eyes:none; teeth: gap teeth; clothing:umbaco; accessories: sunglasses; expression: fufilled; strengths: confidence; weakness: endurance,2f1a1724-59d3-11ed-9b6a-0242ac120002,78747d9f1c273d327ada9073017620e4bcc696543df2024dcb2890186f834c60
,67,mandla-of-zulu,mandla of zulu,A simple and introverted guy who keeps to himself.,Male,hair: bald; eyes: opened; teeth: none; clothing: eshowe; accessories: nose mask; expression: irritated; strength: strong willed; weakness: relationship;,d04553b2-59d7-11ed-9b6a-0242ac120002,87f93e10f68ef1f9274ae14f05560227e99cd8f2b8e26a2c2bc23e4b362585a8
,68,john-doe,john doe,A principled guy who is conscious of his health and ensures protection from infection.,Male,hair: bald; eyes: opened; teeth: none; clothing: ankara; accessories: nose mask; expressions: cold; strength: cleaniness; weakness: perfectionist;,5d19795e-59d2-11ed-9b6a-0242ac120002,0442d8cb0f8864404f749282ae0fe46fb9cd1c4b211bddeab2deae5559e1c819
,69,ghost-of-power,ghost of power,A woman; stronger than ten men combined.,Female,hair: black tied with scalf; eyes: none; teeth: none; clothing: iqoyi; accessories: sunglasses and pipe; espression: ruthless; strength: badass; weakness: cancer;,29c764ca-59d3-11ed-9b6a-0242ac120002,3ab89fd356c44d383837b4fe171a1d34fd562b7a1d557ab97f802788c8267a93
,70,freida,freida,A man who is always peaceful.,Male,hair: bald; eyes: closed; teeth: none; clothing: overall; accessories: nose mask; expression: calm; strength: peaceful; weakness: anger;,ee671c4a-59d2-11ed-9b6a-0242ac120002,88b13aa560bf8c8380b7da52fdcdffb449a8b1be2d696ebf2952b188892f582c
,71,flamboyant-tree,flamboyant tree,A beautiful african woman; billionaire in the making.,Female,hair: one bun dark brown; eyes: none; teeth: none; clothing: kente; accessories: sunglasses; expression: happy; strength: beauty; weakness: lover girl;,380e4990-59d3-11ed-9b6a-0242ac120002,05f28a894ae3192521c78498eb582f03459d593a58b785871f87184f8e205c2e
,72,david-of-accra,david of accra,A combatant who fights and defends his people,Male,hair: bald; eyes: opened; teeth: none; clothing: kente; accessories: nose mask; expression: angry; strength: super powerful; weakness: sleeping;,1c1ef1b4-59d1-11ed-9b6a-0242ac120002,08e6929c17fefb316e40b09b8bb811f1abaf948f9bce33f430e8e20d85bf1e8a
,73,cally-lily,cally lily,A man who is a breathe of fresh air.,Male,hair: male; eyes: opened; teeth: none; clothing: overall; accessories: nose mask; expression: confused; strength: calm; weakness: sun;,82bba87c-59d1-11ed-9b6a-0242ac120002,03daed4d409fb784b41efab0489f2ff7b34fbf179914d4bfb538ef78ab00ef87
,74,bubune-of-accra,bubune of accra,A man with honor; always conscious of his health.,Male,hair: bald; eyes: closed; teeth: none; clothing: kente; accessories: nose mask; expression: happy;  strength: clean; weakness: foodie;,faa4b530-59d2-11ed-9b6a-0242ac120002,da21e94b18454c7dd9044646de24ed7bc7f2bda3de305fb7a051aa34abbb12c1
,75,bediako-of-accra,bediako of accra,A strong man; always ready to fight for what is right.,Male,hair: bald; eyes: opened; teeth: none; clothing: balck with kente; accessories: nose mask; expression: suspicious;  strength: activist; weakness: irrational;,fb6e8222-59d0-11ed-9b6a-0242ac120002,71bb5c86a7b9b288d8c5ef9886344e8c1b5e9a04ce75d244fd7768fc98509faa
,76,avatar-aang,avatar aang,A man who is ready to save the world.,Male,hair: bald; eyes: opened; teeth: none; clothing: kaftan; accessories: nose mask; expression: soothing; strength: mind games; weakness: insomia;,169f93a0-59d2-11ed-9b6a-0242ac120002,ac3b9224590f9a6cd3036cead2dbf5b66357203c8fbbda750933ce41d2c9da6f
,77,argus-greek,argus greek,A man who you will always find on the look out.,Male,hair: bald; eyes: opened; teeth: none; clothing: overall; accessories: nose mask; expression: suspicious; strength: strong;  weakness: lateness;,e7f26b26-59d2-11ed-9b6a-0242ac120002,95b0525ea379a6d8376f21fcadeb0a41f4b223a709625de20ff7b34137109ac2
,78,amahle-of-zulu,amahle of zulu,A traditional man; feeling fulfilled.,Male,hair: bald; eyes: closed; teeth: none; clothing: ankara print; accessories: nose mask; expression: excited; strength: conversationist; weakness: traditionalist;,169f93a0-59d2-11ed-9b6a-0242ac120002,4f531b81b4f22ebac97147f5b0ef4faecdce6add2d39910db7bc0aa3994baff1
,79,agnar-ole,agnar ole,A man who feels like an outcast and always has a battle with his mind.,Male,hair: bald; eyes: opened; teeth: none; clothing: overall; accessories: nose mask; expression: furious; strength: strong willed; weakness: crying;,f3f11fd0-59d2-11ed-9b6a-0242ac120002,17ff485782b80871846010b7e0d5e77a7130d928d288f8c45ee6a906c9d79e8a
,80,adom-kulu,adom kulu,A ghanaian model; proud of his culture.,Male,hair: bald; eyes: opened; teeth: none; clothing: kente; accessories: nose mask; expression: irritated;  strength: height;  weakness: pride;,00f6589e-59d3-11ed-9b6a-0242ac120002,5144df11ddc099c9dcc19b7fcf8d91c30649858e6e042c248c502a21d83b5a45
TEAM PRYBAR,81,segun-baller,segun baller,A man who loves to have fun.,Male,hair: black; eyes: black; teeth: none; clothing: kente; accessories: glasses; expression: cool; strength: jovial; weakness: nonchalant;,58ac5cf6-b644-41c6-af79-ec9aa5f6bdd1,12d4519b1ef1a60aa62f60bd1b2ec948d8fabee7d80d775dd547bfa38e39d9ca
,82,bolanle-pepper-dem,bolanle pepper dem,A lady that loves to show off.,Male,hair: bald; eyes: back; teeth: none; clothing: kente; accessories: glasses; expression: proud; strength: strong; weakness: big spender;,46966104-775b-4443-90bb-b35afd121653,6ace96258110419069eb6d5e5e23a67c900c19cd7c1cb22345c5840a072283d2
